1.6924,190.26,0.30758,190.26
1.692,190.51,0.308,190.51
1.6916,190.77,0.30841,190.77
1.6912,191.03,0.30883,191.03
1.6908,191.28,0.30924,191.28
1.6903,191.54,0.30966,191.54
1.6899,191.79,0.31007,191.79
1.6895,192.05,0.31049,192.05
1.6891,192.31,0.3109,192.31
1.6887,192.56,0.31132,192.56
1.6883,192.82,0.31173,192.82
1.6879,193.08,0.31214,193.08
1.6874,193.33,0.31256,193.33
1.687,193.59,0.31297,193.59
1.6866,193.85,0.31339,193.85
1.6862,194.1,0.3138,194.1
1.6858,194.36,0.31422,194.36
1.6854,194.62,0.31463,194.62
1.685,194.87,0.31505,194.87
1.6845,195.13,0.31546,195.13
1.6841,195.38,0.31588,195.38
1.6837,195.64,0.31629,195.64
1.6833,195.9,0.3167,195.9
1.6829,196.15,0.31712,196.15
1.6825,196.41,0.31753,196.41
1.6821,196.67,0.31795,196.67
1.6816,196.92,0.31836,196.92
1.6812,197.18,0.31878,197.18
1.6808,197.44,0.31919,197.44
1.6804,197.69,0.31961,197.69
1.68,197.95,0.32002,197.95
1.6796,198.21,0.32044,198.21
1.6792,198.46,0.32085,198.46
1.6787,198.72,0.32126,198.72
1.6783,198.97,0.32168,198.97
1.6779,199.23,0.32209,199.23
1.6775,199.49,0.32251,199.49
1.6771,199.74,0.32292,199.74
1.6767,200,0.32334,200
1.6762,200.26,0.32375,200.26
1.6758,200.51,0.32417,200.51
1.6754,200.77,0.32458,200.77
1.675,201.03,0.325,201.03
1.6746,201.28,0.32541,201.28
1.6742,201.54,0.32582,201.54
1.6738,201.79,0.32624,201.79
1.6733,202.05,0.32665,202.05
1.6729,202.31,0.32707,202.31
1.6725,202.56,0.32748,202.56
1.6721,202.82,0.3279,202.82
1.6717,203.08,0.32831,203.08
1.6713,203.33,0.32873,203.33
1.6709,203.59,0.32914,203.59
1.6704,203.85,0.32956,203.85
1.67,204.1,0.32997,204.1
1.6696,204.36,0.33038,204.36
1.6692,204.62,0.3308,204.62
1.6688,204.87,0.33121,204.87
1.6684,205.13,0.33163,205.13
1.668,205.38,0.33204,205.38
1.6675,205.64,0.33246,205.64
1.6671,205.9,0.33287,205.9
1.6667,206.15,0.33329,206.15
1.6663,206.41,0.3337,206.41
1.6659,206.67,0.33411,206.67
1.6655,206.92,0.33453,206.92
1.6651,207.18,0.33494,207.18
1.6646,207.44,0.33536,207.44
1.6642,207.69,0.33577,207.69
1.6638,207.95,0.33619,207.95
1.6634,208.21,0.3366,208.21
1.663,208.46,0.33702,208.46
1.6626,208.72,0.33743,208.72
1.6622,208.97,0.33785,208.97
1.6617,209.23,0.33826,209.23
1.6613,209.49,0.33867,209.49
1.6609,209.74,0.33909,209.74
1.6605,210,0.3395,210
1.6601,210.26,0.33992,210.26
1.6597,210.51,0.34033,210.51
1.6593,210.77,0.34075,210.77
1.6588,211.03,0.34116,211.03
1.6584,211.28,0.34158,211.28
1.658,211.54,0.34199,211.54
1.6576,211.79,0.34241,211.79
1.6572,212.05,0.34282,212.05
1.6568,212.31,0.34323,212.31
1.6564,212.56,0.34365,212.56
1.6559,212.82,0.34406,212.82
1.6555,213.08,0.34448,213.08
1.6551,213.33,0.34489,213.33
1.6547,213.59,0.34531,213.59
1.6543,213.85,0.34572,213.85
1.6539,214.1,0.34614,214.1
1.6534,214.36,0.34655,214.36
1.653,214.62,0.34697,214.62
1.6526,214.87,0.34738,214.87
1.6522,215.13,0.34779,215.13
1.6518,215.38,0.34821,215.38
1.6514,215.64,0.34862,215.64
1.651,215.9,0.34904,215.9
1.6505,216.15,0.34945,216.15
1.6501,216.41,0.34987,216.41
1.6497,216.67,0.35028,216.67
1.6493,216.92,0.3507,216.92
1.6489,217.18,0.35111,217.18
1.6485,217.44,0.35153,217.44
1.6481,217.69,0.35194,217.69
1.6476,217.95,0.35235,217.95
1.6472,218.21,0.35277,218.21
1.6468,218.46,0.35318,218.46
1.6464,218.72,0.3536,218.72
1.646,218.97,0.35401,218.97
1.6456,219.23,0.35443,219.23
1.6452,219.49,0.35484,219.49
1.6447,219.74,0.35526,219.74
1.6443,220,0.35567,220
1.6439,220.26,0.35609,220.26
1.6435,220.51,0.3565,220.51
1.6431,220.77,0.35691,220.77
1.6427,221.03,0.35733,221.03
1.6423,221.28,0.35774,221.28
1.6418,221.54,0.35816,221.54
1.6414,221.79,0.35857,221.79
1.641,222.05,0.35899,222.05
1.6406,222.31,0.3594,222.31
1.6402,222.56,0.35982,222.56
1.6398,222.82,0.36023,222.82
1.6394,223.08,0.36065,223.08
1.6389,223.33,0.36106,223.33
1.6385,223.59,0.36147,223.59
1.6381,223.85,0.36189,223.85
1.6377,224.1,0.3623,224.1
1.6373,224.36,0.36272,224.36
1.6369,224.62,0.36313,224.62
1.6365,224.87,0.36355,224.87
1.636,225.13,0.36396,225.13
1.6356,225.38,0.36438,225.38
1.6352,225.64,0.36479,225.64
1.6348,225.9,0.36521,225.9
